original,normalized,website
LIGHT ENGINEERS LIMITED,Light Engineers Ltd.,
LIMES ESTATES LIMITED,Limes Estates Ltd.,
LIMPET PROPERTIES LIMITED,Lixmere Properties Ltd.,
LINAKER LIMITED,Linaker Ltd.,
LINCOLN CORN EXCH & MRKETS 1991 LTD,Lincoln Corn Exchange and Markets Ltd.,
LINDE MH UK LIMITED,Linde Mh UK Ltd.,linde.com
LINKEDIN IRELAND LIMITED,Linkedin Ireland Unlimited Co.,linkedin.com
LINKEDIN IRELAND UNLIMITED COMPANY,Linkedin Ireland Unlimited Co.,linkedin.com
LION WORLD PROPERTIES LIMITED,Lion World Properties Ltd.,
LIQUID RETAIL,Liquid Retail,
LIQUID RETAIL LIMITED,Liquid Retail Ltd.,
LIVA HEALTHCARE,Liva Healthcare,livahealthcare.com
LIVERAMP UK LIMITED,Liveramp UK Ltd.,liveramp.com
LIVERPOOL AIRPORT PLC,Liverpool Airport,liverpoolairport.com
LIVERPOOL CITY COUNCIL,Liverpool City Council,liverpool.gov.uk
LIVERPOOL JOHN LENNON AIRPORT,Liverpool John Lennon Airport,liverpooljohnlennonairport.com
LIXMERE PROPERTIES LIMITED,Lixmere Properties Ltd.,
LLAMASOFT INC.,Llamasoft Inc.,llamasoft.com
LLANDUDNO HOLDINGS LLP,Llandudno Holdings,
LLD PROPERTIES LIMITED,Lion World Properties Ltd.,
LN5 ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
LOADACE LIMITED,Loadace Ltd.,
LOCK PHARMA LIMITED,Lock Pharma Ltd.,
LOCKSTEEP LIMITED,Locksteep Ltd.,
LOCUM BELL,Locum Bell,
LOCUM MATCH LIMITED,Locum Match Ltd.,
LOCUMPRIME LIMITED,Locumprime Ltd.,locumprime.com
LOCUS ROBOTICS,Locus Robotics,locusrobotics.com
LOCUS ROBOTICS CORP,Locus Robotics,locusrobotics.com
LODGE SECURITY LIMITED,Lodge Security Ltd.,
LOGOPAK INTERNATIONAL LIMITED,Lexmark International,lexmark.com
LOMAX EASTGATES LIMITED,Lomax Eastgates Ltd.,
LONDON AND ASSOCIATED PROPERTIES PL,London & Associated Properties PLC,
LONDON BOROUGH OF BARKING AND DAGEN,London Borough of Barking & Dagen,
LONDON BOROUGH OF BARNET,London Borough of Haringey,hackney.gov.uk
LONDON BOROUGH OF BRENT,London Borough of Merton,merton.gov.uk
LONDON BOROUGH OF BROMLEY,London Borough of Bromley,
LONDON BOROUGH OF CAMDEN,London Borough of Merton,merton.gov.uk
LONDON BOROUGH OF EALING,London Borough of Hillingdon,hillingdon.gov.uk
LONDON BOROUGH OF ENFIELD,London Borough of Enfield,
LONDON BOROUGH OF HACKNEY,London Borough of Haringey,hackney.gov.uk
LONDON BOROUGH OF HAMMERSMITH AND F,London Borough of Hammersmith and Fulham,lbhf.gov.uk
LONDON BOROUGH OF HARINGEY,London Borough of Haringey,hackney.gov.uk
LONDON BOROUGH OF HARROW,London Borough of Harrow,harrow.gov.uk
LONDON BOROUGH OF HAVERING,London Borough of Havering,havering.gov.uk
LONDON BOROUGH OF HILLINGDON,London Borough of Hillingdon,hillingdon.gov.uk
LONDON BOROUGH OF HOUNSLOW,London Borough of Hounslow,hounslow.gov.uk
LONDON BOROUGH OF LAMBETH,London Borough of Merton,merton.gov.uk
LONDON BOROUGH OF LEWISHAM,London Borough of Lewisham,
LONDON BOROUGH OF MERTON,London Borough of Merton,merton.gov.uk
LONDON BOROUGH OF NEWHAM,London Borough of Lewisham,
LONDON BOROUGH OF REDBRIDGE,London Borough of Redbridge,redbridge.gov.uk
LONDON BOROUGH OF RICHMOND UPON THA,London Borough of Richmond Upon Thames,richmond.gov.uk
LONDON BOROUGH OF SOUTHWARK,London Borough of Southwark,
LONDON BOROUGH OF SUTTON,London Borough of Merton,merton.gov.uk
LONDON BOROUGH OF TOWER HAMLETS,Tower Hamlets,towerhamlets.gov.uk
LONDON BOROUGH OF WALTHAM FOREST,London Borough of Waltham Forest,
LONDON CITY AIRPORT LIMITED,London City Airport,londoncityairport.com
LONDON LUTON AIRPORT OPERATIONS LIM,London Luton Airport Operations,
LOOP HORIZON LIMITED,Loop Horizon Ltd.,
LOREAL LUXURY PRODUCTS UK LIMITED,L'oreal Luxury Products,loreal.com
LOTUS COMMERCIAL LIMITED,Hootons Commercial Ltd.,
LOVEDAY CHARTERED SURVEYORS AND PRO,Loveday Chartered Surveyors,
LRG GROUP LIMITED,Lrg Group Ltd.,
LUCION ENVIRONMENTAL LIMITED,Lucion Environmental Ltd.,
LUCION SERVICES LIMITED,Lucion Services Ltd.,
LUNSON MITCHENALL LIMITED,Lunson Mitchenall Ltd.,
LUTON BOROUGH COUNCIL,Luton Borough Council,luton.gov.uk
LYMEVALE DEVELOPMENTS LIMITED,Marlin Developments Ltd.,
LYNDENDOWN LIMITED,Lyndendown Ltd.,
LYONWOOD PROPERTIES LIMITED,Lion World Properties Ltd.,
M & H PLASTICS LIMITED,M & H Plastics Ltd.,
M & J PRITCHARD RETIREMENT BENEFIT,M & J Pritchard Retirement Benefit,
M & V DUNCAN,M & V Duncan,
M F COX ESQ,M F Cox Attorney,
M F WEST TRUST,M F West Trust,
M M ANDERSON & VICTORIA L KIDD,M M Anderson & Victoria L Kidd,
MAC COSMETICS,Mac Cosmetics,maccosmetics.com
MACCIS ESTATES,Maccis Estates,
MACFARLANE GROUP UK LIMITED,Macfarlane Group,macfarlanegroup.com
MACFARLANES,Macfarlanes,macfarlanes.com
MACILDOWIE ASSOCIATES LIMITED,Macildowie Associates Ltd.,
MACINNES PROPERTY TRUST,Macinnes Property Trust,
MACMILLAN CANCER SUPPORT,Macmillan Cancer Support,macmillan.org.uk
MAGON COMMERCIAL LIMITED,Tila Commercial Ltd.,
MAIDSTONE BOROUGH COUNCIL,Eastbourne Borough Council,eastbourne.gov.uk
MAINLAND BRITISH CAPITAL ONE LIMITE,Mainland British Capital One Ltd.,
MAINLAND BRITISH CAPITAL SEVEN LIMI,Mainland British Capital One Ltd.,
MAINLAND BRITISH CAPITAL SIX LIMITE,Mainland British Capital One Ltd.,
MAKRON PROPERTIES LIMITED,Manica Properties Ltd.,
MALCOLM A BEGG ESQ,"Malcolm a. Begg, Esq",
MALDON DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
MALVERN HILLS DISTRICT COUNCIL,Malvern Hills District Council,malvernhills.gov.uk
MANCHESTER CITY COUNCIL,Manchester City Council,manchestercitycouncil.gov.uk
MANHATTAN ASSOCIATES LIMITED,Manhattan Associates Ltd.,manhattanassociates.com
MANICA PROPERTIES LIMITED,Manica Properties Ltd.,
MANORHURST LIMITED,Manorhurst Ltd.,
MANSFIELD DISTRICT COUNCIL,Ashfield District Council,ashfield.gov.uk
MANX ELECTRICITY AUTHORITY,Manx Electricity Authority,gov.im
MANX GAS LIMITED,Manx Gas Ltd.,manxgas.com
MARIA BOYLE COMMUNICATIONS LIMITED,Maria Boyle Communications Ltd.,
MARINA TRETA,Marina Treta,
MARINO PARTNERSHIP,Marino Partnership,
MARITESS MAURICIO,Maritess Mauricio,
MARKET STREET ESTATES LIMITED,Market Street Estates Ltd.,
MARLIN DEVELOPMENTS LIMITED,Marlin Developments Ltd.,
MARLOWE FIRE AND SECURITY LIMITED,Adt Fire & Security PLC,adt.com
MARQGLEN LIMITED,Marqglen Ltd.,
MARS DRINKS A DIVISION OF MARS UK L,Mars Drinks,mars.com
MARSHALL GERSTEIN AND BORUN LLP,Marshall Gerstein & Borun LLP,mgbfirm.com
MARTIN GRANT HOLDINGS LIMITED,Martin Grant Holdings,
MARTIN N LEVY,Martin N Levy,
MARTIN SLOWE PROPERTY SERVICES LIMI,Martin Sloowe Property Services Ltd.,
MARYLEBONE ASSET MANAGEMENT LIMITED,Marylebone Asset Management Ltd.,
MASON AND PARTNERS LIMITED,Mason and Partners Ltd.,
MASON OWEN & PARTNERS LIMITED,Mason and Partners Ltd.,
MASON OWEN AND LYONS LIMITED,Mason Owen & Lyons Ltd.,
MASON PARTNERS LLC,Mason Partners LLC,
MASON PARTNERS LLP,Mason Partners LLC,
MASTERCARD PAYMENT GATEWAY SERVICES,Mastercard Payment Gateway Services,mastercard.com
MASTERLINK AIRPORT SOLUTIONS LIMITE,Masterlink Airport Solutions Ltd.,
MATLOTLO 3 LIMITED,Matlotlo 3 Ltd.,
MATTRAM PROPERTY LIMITED,Mattram Property Ltd.,
MAURAY PROPERTIES LIMITED,Rae Properties Ltd.,
MAURICE SAMUEL & COMPANY,Maurice Samuel & Co.,
MAX SELECT LIMITED,Max Select Ltd.,
MAYFIELD ASSET AND PROPERTY MANAGEM,Mayfield Asset & Property Management,
MAYNARDS SERVICES LIMITED,Maynards Services Ltd.,
MCCOMB PROPERTY COMPANY LIMITED,Mccomb Property Co. Ltd.,
MCCOMBE PIERCE LLP,Mccombe Pierce LLP,
MCCONNELL CHARTERED SURVEYORS LIMIT,Mcconnell Chartered Surveyors,
MCDOWALLS CHARTERED SURVEYORS,Mcdowalls Chartered Surveyors,mcdowalls.com
MCKIBBIN COMM PROPERTY CONSULTANTS,Mckibbin Commercial Property Consultants,
MCS,Mcs,
MD PRIVATE LIMITED,Md Pvt Ltd.,
MEASURED INC,Measured Inc.,
MEDACY LTD,Medacy Ltd.,medacy.com
MEDE CARE HEALTHCARE SOLUTIONS LIMI,Mede Care Healthcare Solutions,
MEDIACOM HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
MEDIAFLEET LIMITED,Mediafleet Ltd.,
MEDIAWATCH LTD,Mediawatch Ltd.,
MEDICA PACKAGING LIMITED,Medica Packaging Ltd.,
MEDICAL CENTRE DEVELOPMENTS LIMITED,Medical Centre Developments Ltd.,
MEDICAL SUPPLIES DIRECT LTD,Medical Supplies Direct,
MEDILOGIC UK LIMITED,Medlogic UK Ltd.,
MEDWAY COUNCIL,Medway Council,medway.gov.uk
MEIR ZEV RAPOPORT AND ZVI COHEN,Meir Zev Rapoport & Zvi Cohen,
MEIYUME UK LIMITED,Meiyume UK Ltd.,meiyume.com
MELTON BOROUGH COUNCIL,Luton Borough Council,luton.gov.uk
MELVYN & PEARL WISE,Melvyn & Pearl Wise,
MENDIP DISTRICT COUNCIL,Mendip District Council,mendip.gov.uk
MENINGITIS NOW,Meningitis Now,meningitisnow.org
MENTAL HEALTH FIRST AID ENGLAND,Mental Health First Aid England,mhfaengland.org
MENTAL HEALTH FIRST AID ENGLAND COMMUNITY INTEREST COMPANY,Mental Health First Aid England,mhfaengland.org
MERTHYR TYDFIL COUNTY BOROUGH COUNC,Merthyr Tydfil County Borough Council,
MERYL E WILSON,Meryl E. Wilson,
MESH PLANNING TOOLS LIMITED,Mesh Planning Tools Ltd.,
MESSRS TP JM AP AND CM MAGGS,Messrs Tp Jm Ap and Cm Maggs,
METRISK LIMITED,Metrisk Ltd.,
METRO ASSOCIATES LIMITED,Metro Associates Ltd.,
METRO MRH LIMITED,Metro Mrh Ltd.,metro.com
METRO MRM LIMITED,Metro Mrh Ltd.,metro.com
METRO SRM LLP,Metro Srm LLP,
METROPOLITAN BOROUGH OF BURY,Metropolitan Borough of Wirral,
METROPOLITAN BOROUGH OF WIRRAL,Metropolitan Borough of Wirral,
METROPOLITAN PROPERTY REALIZATIONS,Metropolitan Property Realizations,
METRUS LIMITED,Metrisk Ltd.,
MFZ PROPERTY UK LIMITED,Mfz Property UK Ltd.,
MHNP LIMITED,Mhnp Ltd.,
MICHAEL ANTHONY HOOPER & PAULINE,Michael Anthony Hooper & Pauline,
MICHAEL PAGE INTERNATIONAL RECRUITM,Michael Page International Recruitment,michaelpage.com
MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED,Michael Page International Recruitment,michaelpage.com
MICHAEL S CROWCROFT & LINDA A CROWC,Michael S Crowcroft & Linda a Crowc,
MICHAEL TAYLOR PENSION FUND,Michael Taylor Pension Fund,
MICHELLE ELLEN PRITT,Michelle Ellen Pritt,
MICRO FOCUS SOFTWARE UK LIMITED,Micro Focus Software,microfocus.com
MICROLIFE HEALTH MANAGEMENT LIMITED,Microlife Health Management Ltd.,
MICROSOFT,Microsoft,microsoft.com
MICROSOFT IRELAND OPERATIONS LIMITE,Microsoft,microsoft.com
MID DEVON DISTRICT COUNCIL,Mid Devon District Council,middevon.gov.uk
MID SUFFOLK DISTRICT COUNCIL,Mid Suffolk District Council,midsuffolk.gov.uk
MID SUSSEX DISTRICT COUNCIL,Mid Sussex District Council,midsussex.gov.uk
MIDA TAYLOR LIMITED,Mida Taylor Ltd.,
MIDDLESBROUGH COUNCIL,Middlesbrough Council,middlesbrough.gov.uk
MIDLOTHIAN COUNCIL,Midlothian Council,midlothian.gov.uk
MIGHTYHIVE LIMITED,Mightyhive,mightyhive.com
MIGHTYHIVE LTD,Mightyhive,mightyhive.com
MILLER COMMERCIAL,Miller Commercial,
MILLGARVAN PROPERTIES LIMITED,Millgarvan Properties Ltd.,
MILLSTREAM UNDERWRITING LIMITED,Millstream Underwriting Ltd.,
MILTON KEYNES COUNCIL,Milton Keynes Council,milton-keynes.gov.uk
MIND LAB INTERNATIONAL LTD,Mind Lab International,
MINELEN LIMITED,Minelen Ltd.,
MISCHIEF STUDIO LIMITED,Mischief Studio Ltd.,
MISS ADELE CHRISTINE PERRY,Adele Christine Perry,
MISS LISA ANN WOOD,Miss Lisa Ann Wood,
MITIE CLEANING AND ENVIRONMENTAL,Mitie Cleaning & Environmental,mitie.com
MITTAL AND SOHAL LIMITED,Mittal and Sohal Ltd.,
MITTEN ASBESTOS AND ENVIRONMENTAL,Mitten Asbestos & Environmental,
MITTEN ASBESTOS LIMITED,Mitten Asbestos Ltd.,mittenasbestos.com
MJ MAPP LIMITED,Mj Mapp Ltd.,
MK SIPP TRUSTEES UK LIMITED,Mk Sipp Trustees UK Ltd.,
MK2 REAL ESTATE PROPERTY MANAGEMENT,Mk2 Real Estate Property Management,
MMR RESEARCH WORLDWIDE LIMITED,Mmr Research Worldwide,
MOHAMMED ARIF,Mohammed Arif,
MOLD HOLDINGS LIMITED,Mold Holdings Ltd.,
MOLE VALLEY DISTRICT COUNCIL,Mole Valley District Council,molevalley.gov.uk
MOMENTIVE EUROPE UNLIMITED COMPANY,Momentive Europe Unlimited Co.,momentive.com
MOMENTUM INSTORE LIMITED,Momentum Instore Ltd.,
MONARCH PROPERTY SERVICES LIMITED,Monarch Property Services,nhspropertyservices.co.uk
MONDIAL LIGHTING COMPANY LIMITED,Mondial Lighting Co. Ltd.,
MONGO DB UK LIMITED,Mongodb UK Ltd.,mongodb.com
MONMOUTHSHIRE COUNTY COUNCIL,Monmouthshire County Council,monmouthshire.gov.uk
MONOTYPE LIMITED,Monotype Ltd.,monotype.com
MONTAGU EVANS LLP,Montagu Evans LLP,montagu-evans.co.uk
MONTLAKE QIAIF PLATFORM ICAV,Montlake Qiaif Platform Icav,
MORDEN HALL MEDICAL CENTRE,Morden Hall Medical Centre,
MORELAND ESTATE MANAGEMENT LIMITED,Moreland Estate Management Ltd.,
MORGAN WEST LLP,Morgan West LLP,
MORGAN WILLIAMS COMMERCIAL LLP,Morgan Williams Commercial LLP,
MORPHEWAN LIMITED,Morphewan Ltd.,
MOUNTGOLD COMMERCIAL PROPERTY LIMIT,Mountgold Commercial Property Ltd.,
MOUNTGREEN ENFIELD LIMITED,Mountgreen Enfield Ltd.,
MR & MRS ALAN WL DILLIWAY PARRY,Mr. & Mrs. Alan W. l. Dilliway Parry,
MR & MRS B PANCHAL,Mr. & Mrs. B Panchal,
MR & MRS GUEST & MR & MRS HODGKISS,Mr and Mrs Guest and Hodgkiss,
MR & MRS M LAMPARD,Mr & Mrs M Lampard,
MR & MRS P JOHNSON,Mr & Mrs P Johnson,
MR & MRS P N COULSON,Mr & Mrs P N Coulson,
MR & MRS WALKER,Mr & Mrs Walker,
MR A G MORRIS AND MRS MORRIS,Morris & Morris,
MR ALAN S & MRS PAT CRUICKSHANK,Mr Alan S & Mrs Pat Cruickshank,
MR B AND MRS N PATEL,Mr B and Mrs N Patel,
MR BHIM S SURI AND MR ASHOK K SURI,Mr. Bhim S. Suri & Mr. Ashok K. Suri,
MR BRYAN WL & MRS SARAH J EDWARDS,Mr. Bryan Edwards & Mrs. Sarah Edwards,
MR DA MACLEOD & MRS ELIZABETH M MAC,Mr Da Macleod and Mrs Elizabeth Mac,
MR DANNY AND MRS JULIE SHAKESHAFT,Mr Danny and Mrs Julie Shakeshaft,
MR E & MRS J ROGERS,Mr E and Mrs J Rogers,
MR ERNEST AND MRS GEORGINA BULLION,Mr Ernest & Mrs Georgina Bullion,
MR J ALLEN,Mr. J. Allen,
MR J DOSHI,Mr. J Doshi,
MR JONATHAN P WELLS AND MRS JA WELL,Mr. Jonathan P. Wells & Mrs. Ja Well,
MR K JETHWA & N JETHWA,Jethwa,
MR M C WILLIAMS,M R M C Williams,
MR MASTAQUR RAHMAN AND MRS KOHINOOR,Mr Mastaqur Rahman and Mrs Kohinoor,
MR MW CARR,Mr Mw Carr,
MR OLIPHANT,Mr. Oliphant,
MR PANKHANIA & MR MAKHANI & MJR DEJ,Mr Pankhania & Mr Makhani & Mjr Dej,
MR PAUL GARAVAN AND MR MICHAEL KAVA,Paul Garavan & Michael Kava,
MR PHILIP HENDERSON,Mr Philip Henderson,
MR RICHARD CAPSTICK,Mr Richard Capstick,
MR RICK GREER,Mr. Rick Greer,
MR W F DOVE PP SERVICES,Mr W F Dove Pp Services,
MRS AC THOMAS AND MR K TIMEWELL REA,Mrs Ac Thomas and Mr K Timewell Real Estate,
MRS BRENDA ALDRED,Mrs Brenda Aldred,
MRS CELIA RAWSTRON,Mrs Celia Rawstron,
MRS D HOFFMAN AND MRS K HARRIS,Mrs D Hoffman and Mrs K Harris,
MRS D PEARMUND,Mrs. D. Pearmund,
MRS GILLIAN CULLINAN,Gillian Cullinan,
MRS JENNIFER WILSON,Mrs. Jennifer Wilson,
MRS JOAN MAHER,Mrs. Joan Maher,
MRS KATHLEEN DOCHERTY,Kathleen Docherty,
MRS KE SINGLETON,Mrs Ke Singleton,
MRS MARGARET BRENNAN,Mrs Margaret Brennan,
MRS P HOLLEY & MR G S HOLLEY,Mrs P Holley & Mr G S Holley,
MRS PM SLADE,Mrs Pm Slade,
MRS R PEARSON,Mrs R Pearson,
MRS S B PEARL,Mrs S B Pearl,
MRS SOOKYUNG YANG & MRS EUN KYUNG,Ms. Sookyung Yang & Ms. Eunkyung,
MRS STEPHENSON,Mrs. Stephenson,
MS AND MB LIMITED,Ms and Mb Ltd.,
MS RAZIA HAQ,Ms Razia Haq,
MSF AND M WALLHEAD,M S F and M Wallhead,
MSZ PROPERTY LIMITED,Ehj Property Ltd.,
MUHAMMAD KAMAL,Muhammad Kamal,
MUNROE K ASSET MANAGEMENT LIMITED,Rockford Asset Management Ltd.,
MURAT SAHIN,Murat Sahin,
MW TRUSTEES LIMITED,Mw Trustees Ltd.,
MWUK LIMITED T/A DIMENSIONS,Dimensions,
MYNCARE SOLUTIONS LIMITED,Myncare Solutions Ltd.,
N AND S PROPERTY COMPANY LIMITED,N & S Property Co. Ltd.,
N C L & A M KEOWN,N C L & a M Keown,
N2O LIMITED,N2o Ltd.,
NAMULAS PENSION TRUSTEES LIMITED,Namulas Pension Trustees Ltd.,
NANDAN INVESTMENTS LIMITED,Aon Investments Ltd.,aon.com
NARE POINT LIMITED,Nare Point Ltd.,
NAYLORS GAVIN BLACK LLP,Naylors Gavin Black LLP,
NAZNIN AND MAHMOOD POONJA,Naznin & Mahmood Poonja,
NB VENTURES INC,Nb Ventures Inc.,
NCC GROUP SECURITY SERVICES LIMITED,Ncc Group Security Services Ltd.,
NCR LIMITED,Ncr Ltd.,ncr.com
NEATH PORT TALBOT COUNTY BOROUGH,Neath Port Talbot County Borough,
NEGOTIATE AND FIND LIMITED,Negotiate & Find Ltd.,
NETNAMES LIMITED,Netnames Ltd.,netnames.com
NETWORK RAIL INFRASTRUCTURE LIMITED,Network Rail Infrastructure Ltd.,networkrail.co.uk
NEVINAR COSMETICS LIMITED,Nevinar Cosmetics Ltd.,
NEW DIRECTIONS PROFESSIONAL LTD,New Directions Professional Ltd.,
NEW FOREST DISTRICT COUNCIL,New Forest District Council,eppingforestdc.gov.uk
NEW HORIZONS GROUP LIMITED,New Horizons Group Ltd.,
NEW IRELAND ASSURANCE COMPANY PLC,New Ireland Assurance Co. PLC,
NEWARK AND SHERWOOD DISTRICT COUNCI,Newark & Sherwood District Council,
NEWBRIDGE ARCADE LIMITED,Newbridge Arcade Ltd.,
NEWCASTLE CITY COUNCIL,Newcastle City Council,newcastle.gov.uk
NEWCASTLE INTERNATIONAL AIRPORT LIM,Newcastle International Airport,newcastleairport.com
NEWCASTLE UNDER LYME BOROUGH COUNCI,Newcastle Under Lyme Borough Council,
NEWCASTLE UNIVERSITY,Newcastle University,ncl.ac.uk
NEWGATE INVESTMENTS LIMITED,Ess Gee Investments Ltd.,
NEWHOMES ESTATES AMERSHAM LIMITED,Newhomes Estates,
NEWMARSTON LIMITED,Newmarston Ltd.,
NEWPARK CLEVELEYS LLP,Newpark Cleveleys LLP,
NEWPORT CITY COUNCIL,Newport City Council,newport.gov.uk
NEWSMITH STAINLESS LIMITED,Newsmith Stainless Ltd.,
NG CHARTERED SURVEYORS,Ng Chartered Surveyors,
NHS GRAMPIAN,NHS Grampian,nhsgrampian.org
NHS GREATER GLASGOW AND CLYDE,NHS Greater Glasgow & Clyde,nhsggc.scot
NHS LOTHIAN,NHS Lothian,nhslothian.scot.nhs.uk
NHS PROPERTY SERVICES LIMITED,Monarch Property Services,nhspropertyservices.co.uk
NICHOLAS PERCIVAL LIMITED,Nicholas Percival Ltd.,
NICHOLSON GLOVER ASSOCIATES LTD,Nicholson Glover Associates Ltd.,
NICOLA ASKHAM LIMITED,Nicola Askham Ltd.,
NIGHTINGALE PROPERTY ASSET MANAGEME,Nightingale Property Asset Management,
NIJJAR GROUP LIMITED,Nijjar Group Ltd.,
NIKIS COSMETICS LIMITED,Nikis Cosmetics Ltd.,
NIRAJ GORSHIA,Niraj Gorshia,
NIRVANA STUDIOS LIMITED,Nirvana Studios Ltd.,
NOEL CONN AND COMPANY LIMITED,Noel Conn and Co. Ltd.,
NORLAND PROPERTIES BRISTOL LIMITED,Norland Properties,
NORMAN HONEYMAN,Norman Honeyman,
NORTH AYRSHIRE COUNCIL,North Ayrshire Council,north-ayrshire.gov.uk
NORTH DEVON DISTRICT COUNCIL,North Kesteven District Council,northkesteven.gov.uk
NORTH EAST LINCS BOROUGH COUNCIL,North East Lincolnshire Borough Council,north-east-lincs.gov.uk
NORTH HERTFORDSHIRE DISTRICT COUNCI,East Hertfordshire District Council,eastherts.gov.uk
NORTH KESTEVEN DISTRICT COUNCIL,North Kesteven District Council,northkesteven.gov.uk
NORTH LANARKSHIRE COUNCIL,South Lanarkshire Council,southlanarkshire.gov.uk
NORTH LINCOLNSHIRE COUNCIL,North Lincolnshire Council,northlincs.gov.uk
NORTH NORFOLK DISTRICT COUNCIL,South Norfolk District Council,southnorfolk.gov.uk
NORTH NORTHAMPTONSHIRE COUNCIL,North Northamptonshire Council,northnorthamptonshire.gov.uk
NORTH NOTTINGHAM LIFT PROJECT COMPA,North Nottingham Lift Co.,
NORTH SOMERSET COUNCIL,North Somerset Council,somerset.gov.uk
NORTH TYNESIDE COUNCIL,North Tyneside Council,northtyneside.gov.uk
NORTH WEST LEICESTERSHIRE DISTRICT,North West Leicestershire District,
NORTHAMPTON BOROUGH COUNCIL,Northampton Borough Council,northampton.gov.uk
NORTHAMPTON GENERAL HOSPITAL NHS TR,Northampton General Hospital,northamptongeneral.nhs.uk
NORTHERN HEALTH AND SOCIAL CARE TRU,Northern Health and Social Care Trust,northerntrust.hscni.net
NORTHGATE VEHICLE HIRE LIMITED,Northgate Vehicle Hire,northgatevehiclehire.co.uk
NORTHUMBERLAND COUNTY COUNCIL,Northumberland County Council,northumberland.gov.uk
NORTHWOLD INVESTMENTS LIMITED,Northwold Investments Ltd.,
NORWICH CITY COUNCIL,Norwich City Council,norwich.gov.uk
NOTTINGHAM BID COMPANY LIMITED,Nottingham Bid Co. Ltd.,
NOTTINGHAM CITY COUNCIL,Nottingham City Council,nottinghamcity.gov.uk
NOTTINGHAM SAMEDAY COURIERS,Nottingham Sameday Couriers,
NOVA SHEPTON 83 LLP,Nova Shepton LLP,
NOVARTIS PHARMACEUTICALS UK LIMITED,Novartis Pharmaceuticals,novartis.com
NUFFIELD HEALTH,Nuffield Health,nuffieldhealth.com
NUNEATON AND BEDWORTH BOROUGH COUNC,Nuneaton & Bedworth Borough Council,nuneatonandbedworth.gov.uk
OAKFIELD INVESTMENTS LIMITED,Oakfield Investments Ltd.,
OAKNUT PROPCO LIMITED,Oaknut Propco Ltd.,
OASIS HEALTH LIMITED,Oasis Health Ltd.,
OCUCO LIMITED,Ocumo Ltd.,
ODYSSEY PENSIONS LIMITED,Odyssey Pensions Ltd.,
OFFICE INNOVATIONS,Office Innovations,
OGILVY AND MATHER GROUP HOLDINGS,Ogilvy & Mather Group,ogilvy.com
OHARE AND MCGOVERN IRELAND LIMITED,O'hare & Mcgovern Ireland Ltd.,
OHARE AND MCGOVERN LIMITED,O'hare & Mcgovern Ireland Ltd.,
OHMEGA ELECTRICAL LIMITED,Ohmega Electrical Ltd.,
OLDHAM METROPOLITAN BOROUGH,Oldham Metropolitan Borough,
OLIVER JENKINS,Oliver Jenkins,
OLIVER MARKETING LIMITED,Oliver Marketing Ltd.,
OMK PROPERTY ADVISORS AND RATING,Omk Property Advisors,
OML SERVICES LIMITED,Oml Services Ltd.,
OMNITRADE LIMITED,Omnitrade Ltd.,
ON SITE SERVICES (CBM&PM) LTD,On Site Services Ltd.,
ON SITE SERVICES COMMERCIAL BUILDIN,On Site Services Commercial Building,
ONE ELEVEN HOLDINGS LIMITED,One Eleven Holdings Ltd.,
ONE HOUSING GROUP LIMITED,One Housing Group,onehousing.co.uk
ONE TIME VENDOR IN UK IMMEDIATE,One Time Vendor,
ONE-TIME VENDOR IN IRELAND,One-Time Vendor,
ONE-TIME VENDOR IN IRELAND IMMEDIAT,One-Time Vendor,
ONE-TIME VENDOR IN UK,One-Time Vendor,
ONEVOICE DIGITAL LIMITED,Onevoice Digital Ltd.,
OPEN BRAVO SPAIN,Openbravo,openbravo.com
OPEN TEXT UK LIMITED,Opentext Ltd.,opentext.com
OPTIONS SSAS LIMITED,Options Ssas Ltd.,
ORAN ESTATES LIMITED,Caneo Estates Ltd.,cadogan.com
ORBIT PROPERTY MANAGEMENT BIRMINGHA,Orbit Property Management,
ORBIT PROPERTY MANAGEMENT LIMITED,KSA Property Management Ltd.,
OREILLY STEWART SOLICITORS,O'reilly Stewart Solicitors,oreillystewart.com
ORIGINA UK LIMITED,Origina UK Ltd.,
ORKNEY ISLANDS COUNCIL,Orkney Islands Council,orkney.gov.uk
ORLAND LIMITED,Orland Ltd.,
ORRIDGE & CO LIMITED,Orridge & Co. Ltd.,
ORRIDGE AND CO LIMITED,Orridge & Co. Ltd.,
OS SA PROPERTIES LIMITED,Crossacre Properties Ltd.,
OSBORNE KING,Osborne King,
OSPREY ESTATES LIMITED,Osprey Estates Ltd.,
OSSIPEE LIMITED,Ossipee Ltd.,
OTV - LEGAL UK,Otv Legal UK,
OWEN OWENS,Owen Owens,
OXFORD CITY COUNCIL,Salford City Council,salford.gov.uk
P A MACDONALD,P a Macdonald,
P D LANGDOWN,Pd. Langdown,
P M A MITCHELSON,Pma Mitchelson,
P T GIBBS C/O ASHLEE GIBBS,Pt. Gibbs,
PACKHORSE MANAGEMENT SERVICES LIMIT,Packhorse Management Services Ltd.,
PADDLE COM MARKET LIMITED,Paddle. com Market Ltd.,paddle.com
